x,PBS,COC,10PBS/90COC,20PBS/70COC,30PBS/70COC,40PBS/60COC
"1090,16","14,194","31,798","44,671","61,157","72,808","87,789"
"1091,02","14,244","31,789","44,646","61,171","72,811","87,734"
"1092,21","14,277","31,775","44,601","61,181","72,805","87,649"
"1096,31","14,177","31,719","44,359","61,125","72,691","87,282"
"1098,36","14,041","31,686","44,194","61,026","72,582","87,061"
"1107,7","13,008","31,505","43,236","59,607","71,75","85,838"
"1118,67","11,317","31,203","41,982","56,924","70,584","84,162"
"1134,81","9,308","29,636","40,328","54,57","69,286","81,789"
"1143,44","8,942","26,843","39,629","53,887","68,826","80,815"
"1145,14","8,897","26,859","39,51","53,784","68,752","80,665"
"1147,54","8,843","26,924","39,353","53,651","68,656","80,478"
"1147,95","8,835","26,939","39,327","53,63","68,64","80,449"
"1155,74","8,72","27,322","38,913","53,303","68,394","80,05"
"1157,79","8,7","27,443","38,827","53,235","68,344","79,99"
"1196,77","8,642","29,885","38,5","52,739","68,02","80,496"
"1200,82","8,658","30,008","38,55","52,744","68,029","80,572"
"1209,75","8,704","29,777","38,685","52,779","68,066","80,691"
"1220,01","8,791","28,42","38,863","52,858","68,134","80,772"
"1235,78","9,021","27,36","39,139","53,05","68,28","80,831"
"1252,28","9,202","27,206","39,365","53,337","68,473","80,879"
"1254,1","9,22","27,277","39,383","53,374","68,496","80,888"
"1268,44","9,347","28,215","39,466","53,71","68,686","81,049"
"1272,94","9,381","27,962","39,474","53,835","68,747","81,183"
"1274,59","9,392","27,736","39,475","53,885","68,769","81,254"
"1288,93","9,463","25,048","39,445","54,502","68,948","82,053"
"1293,03","9,466","24,585","39,426","54,765","68,987","82,009"
"1294,33","9,463","24,51","39,419","54,712","68,997","81,976"
"1296,17","9,454","24,478","39,408","54,64","69,009","81,92"
"1308,97","8,699","26,152","39,318","54,214","68,753","81,421"
"1313,52","8,539","26,859","39,281","54,085","68,707","81,236"
"1323,28","8,341","27,556","39,197","53,854","68,921","80,883"
"1342,21","8,277","26,36","39,066","53,693","69,415","80,644"
"1344,26","8,302","26,157","39,06","53,721","69,469","80,697"
"1346,31","8,338","25,953","39,057","53,768","69,522","80,777"
1348,"8,379","25,786","39,058","53,824","69,566","80,864"
"1360,72","9,338","24,929","39,192","55,046","69,874","82,176"
"1364,26","9,968","25,179","39,29","55,424","69,945","82,618"
"1366,8","10,165","25,829","39,386","55,483","69,986","82,829"
"1368,85","10,119","27,094","39,483","55,43","70,004","82,886"
"1370,9","9,95","29,262","39,6","55,329","69,264","82,827"
"1371,05","9,935","29,371","39,61","55,32","69,258","82,819"
"1372,4","9,777","30,056","39,7","55,235","69,23","82,724"
"1379,1","9,069","31,2","40,258","54,722","69,263","81,866"
"1382,66","9,032","31,641","40,545","54,433","69,311","81,292"
"1383,78","9,077","31,806","40,627","54,345","69,328","81,119"
"1387,3","9,345","32,332","40,853","54,084","69,385","80,722"
"1395,49","10,1","32,891","41,159","53,718","69,527","82,014"
"1401,64","10,285","32,28","41,138","53,985","69,637","82,404"
"1401,67","10,284","32,274","41,137","53,988","69,637","82,404"
"1403,32","10,222","31,943","41,088","54,168","69,666","82,427"
"1407,79","9,842","30,734","40,876","54,789","69,743","82,407"
"1413,93","9,112","28,614","40,469","55,32","69,842","82,279"
"1417,94","8,884","27,105","40,18","55,241","69,902","82,166"
"1427,7","10,664","23,607","39,525","54,591","70,027","81,863"
"1430,33","10,583","22,879","39,373","54,438","70,054","81,785"
"1430,43","10,575","22,856","39,368","54,433","70,055","81,782"
"1436,48","9,917","22,059","39,07","54,357","70,098","81,626"
"1442,33","9,455","22,386","38,85","54,924","70,07","81,531"
"1442,62","9,461","22,416","38,841","54,966","70,062","81,528"
"1446,72","10,235","22,809","38,733","55,591","68,846","81,52"
"1449,79","11,143","22,956","38,68","55,961","68,749","81,561"
"1452,09","11,553","22,955","38,656","56,096","68,708","81,625"
"1454,92","11,795","22,874","38,649","56,039","68,69","81,751"
