x,PBS,PBA,PBS79/A21,PBS59/A41,PBS50/A50,PBS39/A61,PBS21/A79
"934,72","92,803","22,089","80,706","69,238","57,285","45,37","33,783"
"934,96","92,749","22,041","80,677","69,23","57,259","45,358","33,755"
"936,35","92,382","21,725","80,435","69,159","57,072","45,275","33,59"
"937,31","92,076","21,479","80,199","69,086","56,912","45,204","33,477"
"939,56","91,191","20,836","79,443","68,826","56,456","44,964","33,205"
"941,88","90,064","20,107","78,425","68,407","55,898","44,546","32,632"
"942,9","89,516","19,778","77,935","68,163","55,637","44,279","32,224"
"943,06","89,428","19,727","77,858","68,121","55,596","44,233","32,158"
"949,59","86,028","17,734","75,702","65,805","54,318","42,562","30,127"
"950,42","85,819","17,512","75,723","65,501","54,292","42,499","29,993"
"951,09","85,787","17,343","75,799","65,289","54,313","42,478","29,908"
"952,39","86,322","17,043","76,071","65,087","54,455","42,507","29,804"
"952,78","86,669","16,96","76,181","65,168","54,523","42,533","29,788"
"955,44","89,513","16,534","77,143","68,217","55,205","42,855","29,886"
956,"89,987","16,483","77,378","68,527","55,38","42,946","29,954"
"958,13","91,334","16,486","78,294","69,122","56,063","43,33","30,336"
"961,66","92,539","17,644","79,718","69,475","57,045","44,028","31,26"
"964,28","92,966","19,238","80,569","69,591","57,549","44,543","32,054"
"966,09","93,136","20,261","81,018","69,645","57,78","44,878","32,607"
"973,59","93,304","22,735","81,853","69,8","58,168","45,947","34,518"
"974,3","93,292","22,86","81,875","69,814","58,178","46,014","34,647"
"975,28","93,272","23,013","81,894","69,834","58,186","46,095","34,805"
"975,39","93,269","23,029","81,896","69,836","58,187","46,103","34,822"
"989,15","92,697","23,906","81,458","70,145","58,111","46,315","35,393"
"990,63","92,642","23,922","81,399","70,178","58,114","46,28","35,357"
"993,6","92,57","23,928","81,313","70,241","58,136","46,201","35,27"
"999,2","92,676","23,856","81,296","70,35","58,225","46,118","35,133"
"1000,17","92,732","23,834","81,316","70,367","58,244","46,135","35,125"
"1008,34","93,499","23,568","81,984","70,467","58,432","46,724","35,313"
"1011,42","93,573","23,434","82,752","70,471","58,491","46,759","35,458"
"1013,26","93,425","23,348","82,651","70,457","58,512","46,691","35,544"
"1013,69","93,369","23,327","82,572","70,451","58,515","46,667","35,563"
"1014,17","93,3","23,303","82,471","70,443","58,515","46,638","35,582"
"1014,25","93,288","23,299","82,453","70,441","58,515","46,633","35,585"
"1017,22","92,682","23,145","81,643","70,334","58,443","46,402","35,657"
"1019,1","92,175","23,039","81,058","70,178","58,278","46,227","35,625"
"1021,8","91,318","22,874","80,187","69,195","57,811","45,951","35,376"
"1025,35","90,023","22,625","79,04","69,049","57,019","45,556","34,648"
"1026,74","89,475","22,515","78,596","68,954","56,707","45,394","34,292"
"1029,46","88,372","22,274","77,75","68,579","56,114","45,071","33,683"
"1031,05","87,732","22,116","77,275","68,221","55,78","44,88","33,44"
"1040,44","85,176","20,753","75,016","64,83","54,077","43,74","32,794"
"1041,41","85,342","20,553","74,893","64,55","53,953","43,626","32,747"
"1041,52","85,378","20,53","74,882","64,524","53,94","43,614","32,742"
"1042,73","86,155","20,259","74,805","64,349","53,824","43,474","32,677"
"1042,79","86,224","20,243","74,804","64,349","53,819","43,466","32,673"
"1043,55","87,234","20,059","74,82","64,464","53,78","43,381","32,628"
"1044,63","89,156","19,778","74,961","65,203","53,808","43,262","32,554"
"1048,44","92,852","18,611","78,715","68,218","55,417","42,876","32,161"
"1048,8","92,993","18,491","79,356","68,323","55,538","42,843","32,11"
"1050,33","93,409","17,976","80,891","68,626","55,9","42,714","31,853"
"1051,64","93,616","17,538","81,382","68,771","56,087","42,617","31,576"
"1052,29","93,684","17,327","81,517","68,819","56,153","42,574","31,416"
"1062,65","93,512","15,295","81,462","68,778","56,479","42,55","29,439"
"1062,68","93,51","15,294","81,461","68,778","56,48","42,552","29,441"
"1065,81","93,331","15,337","81,326","68,713","56,499","42,84","29,884"
"1066,99","93,288","15,427","81,294","68,703","56,506","42,979","30,134"
"1068,28","93,277","15,568","81,275","68,702","56,516","43,148","30,436"
"1068,73","93,288","15,627","81,273","68,704","56,519","43,211","30,548"
"1077,88","94,793","17,419","81,652","69,059","56,785","44,737","32,809"
"1078,76","94,849","17,626","81,719","69,129","56,851","44,894","32,993"
"1081,21","94,892","18,212","81,92","69,369","57,108","45,319","33,453"
"1082,06","94,877","18,418","81,994","69,469","57,226","45,459","33,597"
"1082,83","94,853","18,605","82,063","69,571","57,347","45,58","33,722"
"1091,19","94,272","20,513","82,741","70,828","58,819","46,48","34,759"
"1093,14","94,085","20,899","82,797","70,945","58,932","46,58","34,931"
"1094,71","93,925","21,182","82,768","70,972","58,945","46,638","35,05"
"1096,09","93,779","21,406","82,675","70,955","58,916","46,678","35,138"
"1097,62","93,611","21,625","82,489","70,904","58,85","46,71","35,217"
"1101,38","93,174","21,996","81,873","70,671","58,585","46,668","35,266"
"1102,14","93,083","22,036","81,766","70,609","58,518","46,63","35,231"
"1107,39","92,416","21,943","81,157","70,052","57,951","45,999","34,426"
"1112,17","91,764","21,261","80,466","69,295","57,308","44,834","33,371"
"1112,19","91,762","21,258","80,463","69,291","57,306","44,83","33,368"
"1112,95","91,653","21,09","80,32","69,128","57,193","44,592","33,186"
"1114,02","91,498","20,826","80,096","68,862","57,028","44,235","32,922"
"1117,24","90,985","19,797","79,206","67,411","56,467","43,018","32,031"
"1118,07","90,835","19,469","78,906","66,714","56,295","42,676","31,764"
"1118,88","90,678","19,122","78,58","66,136","56,11","42,336","31,478"
"1123,65","89,342","16,224","76,019","63,748","53,939","40,156","28,563"
"1123,69","89,325","16,187","75,991","63,728","53,903","40,135","28,533"
"1124,37","89,038","15,562","75,557","63,415","53,311","39,803","28,096"
"1124,42","89,014","15,51","75,523","63,391","53,263","39,777","28,064"
"1129,2","85,903","8,461","72,384","61,17","49,3","37,349","25,657"
"1130,62","84,623","7,981","71,475","60,482","48,567","36,596","24,999"
"1131,07","84,208","7,901","71,198","60,264","48,38","36,358","24,793"
"1131,55","83,751","7,836","70,898","60,024","48,197","36,098","24,568"
"1133,26","82,154","7,721","69,873","59,155","47,669","35,173","23,752"
"1135,01","80,599","7,709","68,866","58,215","47,244","34,206","22,843"
"1136,51","79,39","7,744","68,051","57,364","46,926","33,374","22,059"
"1140,97","76,596","7,944","65,903","54,789","45,951","31,092","20,194"
"1143,47","75,563","8,05","64,909","53,729","45,142","30,12","19,391"
"1148,59","74,512","7,988","63,482","52,723","42,401","29,138","18,178"
"1149,58","74,456","7,87","63,326","52,671","42,027","29,104","18,016"
